id,claim,value,script,evidence,strength
F1,VisDrone2019-DET contains no airborne-vehicle class; its ten classes are all ground traffic participants,"pedestrian, people, bicycle, car, van, truck, tricycle, awning-tricycle, bus, motor",-,results/visdrone/yolov8_visdrone53_labels.jpg,categorical
F2,NTU VIRAL's ground truth is the carrying vehicle's own pose measured by a Leica prism; it carries no target annotations,gndtr_topic /leica/pose/relative with a static T_Body_Prism,-,"eee_03/leica_prism.yaml, third-party, not redistributed; see Nguyen et al. 2022",categorical
F3,NTU VIRAL's horizontal lidar is 16-beam,VERT_RES 16 / HORZ_RES 1024,-,"eee_03/lidar_horz.yaml, third-party, not redistributed; see Nguyen et al. 2022",direct
F4,Of sixteen recorded training runs only two completed a single epoch,2 of 16 (14 wrote no results.csv and no .pt file),scripts/summarize_runs.py,results/run-index.csv,direct
F5,The thirteen VisDrone runs point at five different spellings of the dataset descriptor,"./visdrone.yaml, ./VisDrone2019-DET-train/data.yaml, ./VisDrone2019-DET/data.yaml, ./dataset/..., ./datasets/...",scripts/summarize_runs.py,results/run-index.csv + results/run-args/,direct
F6,The one VisDrone run that trained reached 7 of 100 requested epochs before being abandoned,7 epochs in 4045.35 s on MPS (about 578 s/epoch),-,results/visdrone/yolov8_visdrone53_results.csv,direct
F7,Its validation mAP50 never left the noise floor,peak 0.00038 at epoch 1; 0.00008 at epoch 7,-,results/visdrone/yolov8_visdrone53_results.csv,direct
F8,Its training losses did fall over those epochs so the optimiser was running,box 5.44231 -> 4.15381; cls 6.59981 -> 3.89212,-,results/visdrone/yolov8_visdrone53_results.csv,direct
F9,Every run was built from the architecture yaml not from a checkpoint so training started from random weights; the near-zero VisDrone mAP is therefore NOT evidence that VisDrone is untrainable,model: yolov8n.yaml (with pretrained: true),-,results/run-args/yolov8_visdrone53.yaml,caveat - must always be stated with F7
F10,The VisDrone class histogram does not match the published distribution of VisDrone2019-DET,van about 34000 and people about 14800 dominate while car is under 1000,-,results/visdrone/yolov8_visdrone53_labels.jpg,observation about the local label conversion - not about the dataset
F11,The single-class drone detector trained on the Holybro recording reached a high score,"precision 0.99939, recall 1.000, mAP50 0.995, mAP50-95 0.63815 over 100 epochs in 3875.68 s",-,results/holybro/yolov8_holybro3_results.csv,direct
F12,Its training set is fewer than 500 boxes confined to a narrow image region and a single scale band,"instance histogram reaches just under 500; centres x in [0.45,0.59] and y in [0.44,0.56]; sizes w in [0.014,0.038] and h in [0.019,0.053]",-,results/holybro/yolov8_holybro3_labels.jpg,read off the axes of a shipped figure - the label files are gone (see the README's Unknowns)
F13,Train and validation frames are interleaved samples of the same continuous recording so F11 measures fit to one session not generalisation,train frames 000103-000593; val frames 000001 and 000335-000411,-,"not redistributed: read off Ultralytics' train_batch0 / val_batch0_pred mosaics, which regenerate on any training run (see README, Redaction and privacy)",caveat - must always be stated with F11
F14,The motion-capture volume in which 6-DoF ground truth existed is arena-scale,"11.53 m by 6.04 m horizontally, measured against the plot's own tick spacing; an upper bound, since the trace bounding box includes line and marker width",scripts/measure_plot_extent.py,figures/holybro-out01-mocap-trajectory.png,direct
F15,The detector produced zero detections over all 948 frames of the indoor sequence,0 rows below the header (file is 42 bytes),-,results/indoor-transfer/detections.csv,direct
F15b,"The indoor annotated frame dump carries no annotation overlay on any frame, so no detection was lost between the inference pass and the CSV",0 of 948 frames with more than 50 pure-green pixels,scripts/count_overlay_frames.py,"the 948-frame indoor dump, not shipped; regenerable with scripts/detect_in_rosbag.py",direct - corroborates F15
F16,"The indoor sequence contains a complete quadrotor flight: takeoff, climb, hover, descent and landing",a foreground blob against a whole-sequence median plate in 773 of 948 frames (81.5 percent); centroid from y about 595 px on the floor to y 279 px near the ceiling and back,scripts/locate_moving_target.py,results/indoor-transfer/indoor-target-track.csv + figures/indoor-flight-strip.jpg,"direct - this counts foreground presence, not motion; see F16b"
F16b,"Against a local rather than whole-sequence background plate the count is lower, because an object that holds still is absorbed into its own background; the two numbers answer different questions and are not interchangeable","419 of 948 frames (44.2 percent) with a 61-frame centred median window, 359 of them above y=550 px, spanning frames 351-823",scripts/locate_moving_target.py --background local --bg-window 61,results/indoor-transfer/indoor-target-track-local-plate.csv,"direct - strongly window-dependent, quote the window with the number"
F17,The aircraft is clearly airborne over a bounded stretch of the sequence,447 frames with centroid above y=550 px; all of them between frame 326 and frame 843; the other 71 frames in that 518-frame window have no accepted blob or sit below the line; none outside it,scripts/locate_moving_target.py,results/indoor-transfer/indoor-target-track.csv,direct
F17b,"F17 applies a minimum bounding-box width of 2 analysis pixels; without it the count is 455 over frames 326-855, and the eight extra frames are one fixed 4 x 32 px vertical sliver at x=1472 px that enlargement shows to be a window blind","455 unfiltered vs 447 filtered; excluded frames 846, 847, 849-852, 854, 855",scripts/locate_moving_target.py --min-box-width 0 reproduces the unfiltered figure,results/indoor-transfer/indoor-target-track.csv,direct - correction to an earlier 455 / 326-855 figure
F18,The indoor target appears at the apparent size the detector was trained on so the miss is not a scale mismatch,"median box 36 x 20 px, normalised width 0.0187, inside the training band w in [0.014,0.038]",scripts/locate_moving_target.py,results/indoor-transfer/indoor-target-track.csv vs results/holybro/yolov8_holybro3_labels.jpg,direct
F19,Taken together F15 and F16-F18 make the empty detections file a generalisation failure not an unusable-data finding,"zero detections over 447 airborne frames, from a detector that fires on 994 of 1217 frames of its own session",-,"results/indoor-transfer/detections.csv, results/indoor-transfer/indoor-target-track.csv, results/indoor-transfer/overlay-frames-holybro2.csv",conclusion
F20,An earlier reading of this material called the indoor sequence static and treated F15 as an unusable-data finding; that reading is retracted,superseded by F16-F18,-,this README and results/indoor-transfer/indoor-target-track.csv,correction - supersedes the static-sequence reading
F21,The whole-frame motion statistic reports the indoor sequence as flat,"mean 0.3883, median 0.3853, p95 0.3981, max 0.9426; 0 of 947 consecutive pairs above 2/255; 899 pairs inside 0.369-0.398, 48 above 0.398, nine above 0.5, two above 0.9",scripts/frame_motion_stats.py,results/indoor-transfer/frame-motion-indoor-948.csv,direct - but see F22; corrects an earlier description of a flat band with a single excursion
F22,That statistic is arithmetically incapable of registering a target this small so it says nothing about whether an aircraft was present,"36 x 20 px of 1920 x 1080 is 0.035 percent of the pixels, bounding a full-contrast flip at under 0.1 grey levels against a noise floor of about 0.35-0.39",-,derivation stated in the README; inputs from results/indoor-transfer/indoor-target-track.csv,caveat - must always be stated with F21 and F23
F23,The same whole-frame statistic reports the outdoor Holybro sequence as flat too,"mean 0.3582, median 0.3539, p95 0.3967, max 0.4717; 0 of 1216 consecutive pairs above 2/255",scripts/frame_motion_stats.py --size 1920x1080,results/indoor-transfer/frame-motion-outdoor-holybro-1217.csv,direct - replaces an earlier row computed over a contaminated dump
F23b,"output_images_holybro2 is not one recording: 1217 Holybro frames at 1920x1080 are followed by 596 third-party frames at 752x480, the exact resolution of NTU VIRAL eee_03's camera, perfectly neutral in colour and showing the NTU EEE building",segment 0-1216 at 1920x1080 neutral fraction 0.157; segment 1217-1812 at 752x480 neutral fraction 1.000,scripts/partition_frame_dump.py,results/indoor-transfer/frame-dump-segments-holybro2.csv,direct
F23c,The earlier outdoor row was an artifact of that merge: its maximum was the seam between the two datasets and all but that seam pair lay inside the foreign segment,"old row mean 2.255, max 58.417, 508 of 1812 above 2/255; the maximum is the seam pair frame_001216 -> frame_001217 and 507 of the remaining 508 lie wholly inside the foreign segment",scripts/frame_motion_stats.py without --size would reproduce the old row; it now refuses to run on a mixed-resolution dump,results/indoor-transfer/frame-dump-segments-holybro2.csv,correction - supersedes the 1813-frame outdoor row
F24,Excluding the detector's annotation overlay from the outdoor statistic does not change its verdict,"mean 0.3582 -> 0.3500, median 0.3539 -> 0.3501, p95 0.3967 -> 0.3573, max 0.4717 -> 0.3630; still 0 of 1216 pairs above 2/255; the largest excursion, pair index 114, falls from 0.4717 to 0.3529",scripts/frame_motion_stats.py --mask-overlay,results/indoor-transfer/frame-motion-outdoor-holybro-1217-overlay-masked.csv,direct - replaces an unreproducible pixel-count bound taken from a downscaled published figure
F24b,"The overlay is nevertheless the largest single contributor to what spread the outdoor row has, so it had to be measured rather than dismissed by arithmetic","largest overlay footprint 3048 px of 2073600 (0.147 percent), bounding its contribution at 0.375 grey levels against a row maximum of 0.4717",scripts/count_overlay_frames.py,results/indoor-transfer/overlay-frames-holybro2.csv,direct - the loose bound; F24 is the measurement
F25,The detector does fire on frames from its own recording session,"994 of 1217 Holybro frames carry an annotation overlay (81.7 percent), criterion more than 50 pixels with G>=200, R<=100, B<=100; the per-frame count is bimodal, either 0 or more than 100, so the threshold is not load-bearing",scripts/count_overlay_frames.py,results/indoor-transfer/overlay-frames-holybro2.csv; figures/outdoor-detection-frame.jpg is one such frame; the frames themselves are not shipped,direct - underlying frames not shipped
F25b,The 596 NTU frames in the same dump are excluded from F25; 65 of them do carry an overlay but it is not this detector's,"65 of 596 (10.9 percent); their labels read person, train, elephant and sheep, which are COCO classes, so a stock 80-class checkpoint produced them, not the single-class drone model",scripts/count_overlay_frames.py,results/indoor-transfer/overlay-frames-holybro2.csv,correction - the earlier 1059 of 1813 (58.4 percent) added these to F25
F26,Which checkpoint produced the indoor and outdoor inference passes was not logged,"detect_in_rosbag.py defaults to runs/detect/yolov8_holybro3/weights/best.pt but nothing records the actual run; F25b establishes only that the NTU frames came from a different, COCO-class checkpoint",-,scripts/detect_in_rosbag.py,unknown - limits how far F19 can be attributed
F27,Neither public dataset can supervise an airborne-target detector and the one real recording that was labelled produced a detector that found nothing in a new scene; a synthetic dataset with automatic geometric labels was the remaining option,-,-,this README and the files above,conclusion
F28,"The whole-frame metric produces no indoor-versus-outdoor contrast: both sequences are flat by it and both contain an aircraft in flight, which is why background subtraction was needed","indoor max 0.9426 and outdoor max 0.4717, neither with a single pair above 2/255; a third sequence of 531 frames measures mean 0.3117 and max 0.3271 with a blob in 82 of its frames",scripts/frame_motion_stats.py and scripts/locate_moving_target.py,"results/indoor-transfer/frame-motion-indoor-948.csv, results/indoor-transfer/frame-motion-outdoor-holybro-1217.csv; the 531-frame figures have no shipped artifact - those frames are superseded and not published, see the README's Unknowns",conclusion - replaces a contrast that only existed because of the contaminated dump
F29,"A third party's business signage identified the recording site in figures/outdoor-detection-frame.jpg; it is blurred, not merely disclosed","19 regions blurred, pixelate-then-blur so the information is destroyed rather than smeared; matcher run liberally so several are harmless false positives on sky, foliage and asphalt",scripts/redact_signage.py,results/redaction/outdoor-detection-frame.json,disclosure
F29b,"The two Ultralytics training mosaics were withheld rather than redacted, because mosaic augmentation cuts the signage at tile boundaries and template matching cannot be made reliable on the partial wordmarks",an audit found three sign fragments still legible after a hand pass; the same tiles also carry the upper-floor window band unblurred; the only evidence they hold is the train/val frame numbering already recorded in F13,-,-,disclosure
